model,n,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95
SVM,2,0.584639,0.000000,0.000000,0.504442,0.000000,0.000000,0.593426,0.000000,0.000000
ResNet-50,2,0.899687,0.000000,0.000000,0.896405,0.000000,0.000000,0.900218,0.000000,0.000000
DenseNet-121,2,0.906740,0.000000,0.000000,0.894106,0.000000,0.000000,0.906937,0.000000,0.000000
SSL+MMViT,2,0.937304,0.000000,0.000000,0.920129,0.000000,0.000000,0.936391,0.000000,0.000000
